Project ID,State,District,MP Name,Project Name,Category,Cost (INR),Funds Released (INR),Sanction Date,Completion Status,Physical Completion (%),Implementing Agency,Vendor Name,Target Beneficiary,Latitude,Longitude
MPLAD-TA-2024-1102,Tamil Nadu,Coimbatore,P. Selvam,Renovation of community sports stadium changing rooms and facility block in Coimbatore,Sports Infrastructure (Playgrounds/Gyms),2300000,2300000,2024-04-12,Completed,100,Salem District Development Agency,Vardhan Infrastructure & Sons,General,9.79706,78.46804
MPLAD-TA-2025-1103,Tamil Nadu,Salem,S. Ramachandran,Supply and installation of open-air gymnasium equipment in public park in Salem,Sports Infrastructure (Playgrounds/Gyms),2400000,1440000,2025-11-27,In Progress,84,Greater Chennai Corporation,Apex Infrastructure,General,12.44278,78.102
MPLAD-TA-2024-1104,Tamil Nadu,Madurai,K. Srinivasan,Construction of outpatient department (OPD) extension hall in community hospital in Madurai,Public Health (Hospitals/Clinics),4500000,4500000,2024-02-06,Completed,100,Salem District Development Agency,Apex Infrastructure,General,11.48831,78.92511
MPLAD-TA-2024-1105,Tamil Nadu,Trichy,K. Srinivasan,Supply and installation of open-air gymnasium equipment in public park in Trichy,Sports Infrastructure (Playgrounds/Gyms),1400000,560000,2024-07-25,In Progress,95,Greater Chennai Corporation,Om Shanti Developers,Scheduled Caste (SC),10.14785,79.60909
MPLAD-TA-2024-1106,Tamil Nadu,Madurai,M. K. Anbazhagan,Supply and installation of RO drinking water purification plant in public spaces in Madurai,Drinking Water Facility,1800000,1080000,2024-03-23,In Progress,94,TN Highway Dept,Dynamic Construction Corp,General,9.82978,79.59934
MPLAD-TA-2023-1107,Tamil Nadu,Coimbatore,K. Srinivasan,Provision of science laboratory equipment and student seating benches in Coimbatore,Education (School infrastructure/Libraries),2500000,1000000,2023-07-03,In Progress,76,Madurai City Corporation,Dynamic Construction Corp,General,11.72515,78.57826
MPLAD-TA-2024-1108,Tamil Nadu,Chennai,P. Selvam,Renovation of community sports stadium changing rooms and facility block in Chennai,Sports Infrastructure (Playgrounds/Gyms),2800000,2800000,2024-01-10,Completed,100,Salem District Development Agency,Metro Urban Projects,Scheduled Caste (SC),10.16465,78.84532
MPLAD-TA-2025-1109,Tamil Nadu,Trichy,S. Ramachandran,Installation of high-capacity borewell with dual pump in rural habitations in Trichy,Drinking Water Facility,1200000,1200000,2025-08-31,Completed,100,Salem District Development Agency,Vardhan Infrastructure & Sons,General,9.82389,79.1372
MPLAD-TA-2023-1110,Tamil Nadu,Salem,K. Srinivasan,Renovation of community sports stadium changing rooms and facility block in Salem,Sports Infrastructure (Playgrounds/Gyms),1400000,1120000,2023-10-13,In Progress,77,Greater Chennai Corporation,Vardhan Infrastructure & Sons,General,11.25609,79.13646
MPLAD-TA-2025-1111,Tamil Nadu,Salem,R. Thangavelu,Setting up of solar power backup grid for public health clinic emergency room in Salem,Public Health (Hospitals/Clinics),3100000,2480000,2025-10-29,In Progress,80,TN Highway Dept,Apex Infrastructure,General,12.05838,78.95275
MPLAD-TA-2025-1112,Tamil Nadu,Trichy,M. K. Anbazhagan,Construction of passenger waiting shelter at central district bus stand in Trichy,Community Assets (Halls/Shelters),2800000,2800000,2025-04-25,Completed,100,Salem District Development Agency,Pioneer Engineering,General,10.74797,77.28526
MPLAD-TA-2023-1113,Tamil Nadu,Salem,S. Ramachandran,Supply and installation of open-air gymnasium equipment in public park in Salem,Sports Infrastructure (Playgrounds/Gyms),2500000,1000000,2023-10-16,In Progress,65,Madurai City Corporation,Pioneer Engineering,Scheduled Tribe (ST),9.78969,79.21639
MPLAD-TA-2025-1114,Tamil Nadu,Coimbatore,R. Thangavelu,Development of public sports playground with jogging track and fencing in Coimbatore,Sports Infrastructure (Playgrounds/Gyms),2300000,2300000,2025-05-25,Completed,100,Greater Chennai Corporation,Pioneer Engineering,Scheduled Caste (SC),12.10428,79.16318
MPLAD-TA-2026-1115,Tamil Nadu,Madurai,R. Thangavelu,Development of public sports playground with jogging track and fencing in Madurai,Sports Infrastructure (Playgrounds/Gyms),2800000,1120000,2026-04-05,Sanctioned but not started,0,Madurai City Corporation,Elite Infrastructure Group,General,10.17273,77.32466
MPLAD-TA-2025-1116,Tamil Nadu,Trichy,S. Ramachandran,Renovation and upgradation of pediatric ward in district hospital in Trichy,Public Health (Hospitals/Clinics),2200000,1760000,2025-10-26,In Progress,68,Greater Chennai Corporation,Siddharth Construction Group,Scheduled Caste (SC),10.30234,77.54125
MPLAD-TA-2024-1117,Tamil Nadu,Madurai,S. Ramachandran,Provision of clean drinking water overhead tank of 10000 liters capacity in Madurai,Drinking Water Facility,1800000,1800000,2024-03-20,Completed,100,Madurai City Corporation,Vardhan Infrastructure & Sons,Scheduled Caste (SC),10.70235,77.42562
MPLAD-TA-2025-1118,Tamil Nadu,Chennai,K. Srinivasan,Repair and renovation of boundary wall and roofing of government primary school in Chennai,Education (School infrastructure/Libraries),2800000,2800000,2025-12-16,Completed,100,TN Highway Dept,Dynamic Construction Corp,General,10.61016,79.16479
MPLAD-TA-2023-1119,Tamil Nadu,Trichy,R. Thangavelu,Provision of clean drinking water overhead tank of 10000 liters capacity in Trichy,Drinking Water Facility,700000,700000,2023-09-10,Completed,100,Greater Chennai Corporation,Apex Infrastructure,Scheduled Caste (SC),10.31631,78.98582
MPLAD-TA-2026-1120,Tamil Nadu,Salem,R. Thangavelu,Setting up of centralized solar micro-grid for rural electrification in Salem,Non-conventional Energy (Solar lights),800000,160000,2026-04-15,Sanctioned but not started,0,Salem District Development Agency,Apex Infrastructure,General,10.34974,79.03546
MPLAD-TA-2023-1121,Tamil Nadu,Salem,R. Thangavelu,Provision of clean drinking water overhead tank of 10000 liters capacity in Salem,Drinking Water Facility,1100000,660000,2023-09-21,In Progress,73,Madurai City Corporation,Global Contracting & Co.,Scheduled Caste (SC),11.80205,79.29248
MPLAD-TA-2025-1122,Tamil Nadu,Madurai,S. Ramachandran,Extension of water pipeline networks in uncovered slums in Madurai,Drinking Water Facility,1600000,960000,2025-10-29,In Progress,38,Greater Chennai Corporation,Metro Urban Projects,Scheduled Caste (SC),11.61101,78.50079
MPLAD-TA-2025-1123,Tamil Nadu,Madurai,K. Srinivasan,Extension of water pipeline networks in uncovered slums in Madurai,Drinking Water Facility,500000,300000,2025-12-28,In Progress,85,Salem District Development Agency,Om Shanti Developers,General,10.78785,78.21327
MPLAD-TA-2024-1124,Tamil Nadu,Salem,S. Ramachandran,Supply and installation of integrated solar-powered LED street lights in dark spots in Salem,Non-conventional Energy (Solar lights),1000000,1000000,2024-05-17,Completed,100,Greater Chennai Corporation,Elite Infrastructure Group,General,11.99608,79.75931
MPLAD-TA-2025-1125,Tamil Nadu,Chennai,P. Selvam,Repair and renovation of boundary wall and roofing of government primary school in Chennai,Education (School infrastructure/Libraries),3300000,3300000,2025-08-29,Completed,100,Greater Chennai Corporation,Apex Infrastructure,General,10.6873,77.93082
MPLAD-TA-2024-1126,Tamil Nadu,Madurai,M. K. Anbazhagan,Construction of CC road and brick pavement linking main highway to village in Madurai,"Roads, Pathways & Bridges",3100000,3100000,2024-01-20,Completed,100,Madurai City Corporation,Metro Urban Projects,General,10.08171,79.32868
MPLAD-TA-2024-1127,Tamil Nadu,Madurai,M. K. Anbazhagan,Provision of modern bio-toilets in public high school premises in Madurai,Sanitation & Public Health,1800000,1440000,2024-07-09,In Progress,69,Coimbatore Municipal Corporation,Apex Infrastructure,Scheduled Caste (SC),10.03144,79.31854
MPLAD-TA-2025-1128,Tamil Nadu,Salem,P. Selvam,Renovation and roofing repair of local community cultural assembly center in Salem,Community Assets (Halls/Shelters),3500000,3500000,2025-03-23,Completed,100,TN Highway Dept,Balaji Enterprises,Scheduled Caste (SC),9.95287,77.20486
MPLAD-TA-2023-1129,Tamil Nadu,Salem,S. Ramachandran,Supply and installation of RO drinking water purification plant in public spaces in Salem,Drinking Water Facility,1300000,1300000,2023-10-30,Completed,100,Madurai City Corporation,Elite Infrastructure Group,General,10.85574,77.17067
MPLAD-TA-2023-1130,Tamil Nadu,Madurai,K. Srinivasan,Installation of hybrid solar lighting systems in government office compounds in Madurai,Non-conventional Energy (Solar lights),1400000,1400000,2023-08-24,Completed,100,Greater Chennai Corporation,Om Shanti Developers,General,11.45551,77.96458
MPLAD-TA-2025-1131,Tamil Nadu,Salem,R. Thangavelu,Extension of water pipeline networks in uncovered slums in Salem,Drinking Water Facility,600000,600000,2025-05-04,Completed,100,Coimbatore Municipal Corporation,Apex Infrastructure,General,11.01365,77.51768
MPLAD-TA-2024-1132,Tamil Nadu,Coimbatore,P. Selvam,Construction of small pedestrian over-bridge across local stream in Coimbatore,"Roads, Pathways & Bridges",2600000,2600000,2024-12-31,Completed,100,Salem District Development Agency,Pioneer Engineering,General,11.82339,79.03669
MPLAD-TA-2025-1133,Tamil Nadu,Chennai,S. Ramachandran,Development of public sports playground with jogging track and fencing in Chennai,Sports Infrastructure (Playgrounds/Gyms),2700000,2700000,2025-07-31,Completed,100,Greater Chennai Corporation,Sai Ram Constructions,General,11.6712,78.96969
MPLAD-TA-2025-1134,Tamil Nadu,Trichy,M. K. Anbazhagan,Upgradation of sanitation facilities and public latrines in commercial market in Trichy,Sanitation & Public Health,1400000,1400000,2025-05-17,Completed,100,Madurai City Corporation,Vardhan Infrastructure & Sons,General,11.59544,78.17587
MPLAD-TA-2024-1135,Tamil Nadu,Trichy,K. Srinivasan,Setting up of centralized solar micro-grid for rural electrification in Trichy,Non-conventional Energy (Solar lights),1800000,1800000,2024-02-17,Completed,100,Madurai City Corporation,Siddharth Construction Group,Scheduled Tribe (ST),11.98688,79.21632
MPLAD-TA-2025-1136,Tamil Nadu,Trichy,K. Srinivasan,Development of public sports playground with jogging track and fencing in Trichy,Sports Infrastructure (Playgrounds/Gyms),2100000,1260000,2025-02-22,In Progress,73,Salem District Development Agency,Elite Infrastructure Group,General,10.07602,79.99993
MPLAD-TA-2026-1137,Tamil Nadu,Coimbatore,K. Srinivasan,Upgradation of sanitation facilities and public latrines in commercial market in Coimbatore,Sanitation & Public Health,2700000,1080000,2026-05-14,Sanctioned but not started,0,Madurai City Corporation,Dynamic Construction Corp,General,11.29174,77.46276
MPLAD-TA-2025-1138,Tamil Nadu,Coimbatore,R. Thangavelu,Construction of multipurpose community hall for public social functions in Coimbatore,Community Assets (Halls/Shelters),2800000,2800000,2025-06-16,Completed,100,Coimbatore Municipal Corporation,Siddharth Construction Group,General,10.21259,78.3326
MPLAD-TA-2026-1139,Tamil Nadu,Madurai,P. Selvam,Construction of library building and provision of educational furniture in Madurai,Education (School infrastructure/Libraries),4500000,3600000,2026-01-16,In Progress,53,Coimbatore Municipal Corporation,Om Shanti Developers,General,12.45332,78.38504
MPLAD-TA-2024-1140,Tamil Nadu,Madurai,P. Selvam,Provision of solar-powered water pumping system for municipal green parks in Madurai,Non-conventional Energy (Solar lights),1800000,1800000,2024-07-13,Completed,100,TN Highway Dept,Dynamic Construction Corp,Scheduled Tribe (ST),12.11901,77.15654
MPLAD-TA-2025-1141,Tamil Nadu,Salem,S. Ramachandran,Upgradation of sanitation facilities and public latrines in commercial market in Salem,Sanitation & Public Health,1300000,780000,2025-01-04,In Progress,70,TN Highway Dept,Elite Infrastructure Group,Scheduled Tribe (ST),12.21592,77.44205
MPLAD-TA-2023-1142,Tamil Nadu,Salem,K. Srinivasan,Development of shaded public resting park with seating benches and pathways in Salem,Community Assets (Halls/Shelters),4400000,4400000,2023-07-25,Completed,100,Coimbatore Municipal Corporation,A-1 Builders Ltd,General,10.68936,78.12188
MPLAD-TA-2023-1143,Tamil Nadu,Salem,K. Srinivasan,Construction of additional classrooms in government higher secondary school in Salem,Education (School infrastructure/Libraries),2500000,2500000,2023-12-20,Completed,100,Madurai City Corporation,Vardhan Infrastructure & Sons,General,10.50587,77.43815
MPLAD-TA-2023-1144,Tamil Nadu,Chennai,S. Ramachandran,Interlocking tiles paving and repair of street internal pathways in Chennai,"Roads, Pathways & Bridges",2900000,1740000,2023-06-11,In Progress,61,Salem District Development Agency,Global Contracting & Co.,General,12.00489,78.64641
MPLAD-TA-2025-1145,Tamil Nadu,Trichy,R. Thangavelu,Construction of concrete storm water drain and sewage channel in Trichy,Sanitation & Public Health,1700000,680000,2025-02-06,In Progress,63,Salem District Development Agency,Pioneer Engineering,General,11.41686,78.86843
MPLAD-TA-2024-1146,Tamil Nadu,Chennai,K. Srinivasan,Provisioning of 500L drinking water tank in public primary school in Chennai,Drinking Water Facility,1400000,1400000,2024-10-08,Completed,100,Salem District Development Agency,Dynamic Construction Corp,General,10.37382,77.00469
MPLAD-TA-2023-1147,Tamil Nadu,Madurai,M. K. Anbazhagan,Provision of solar-powered water pumping system for municipal green parks in Madurai,Non-conventional Energy (Solar lights),1500000,1500000,2023-11-23,Completed,100,TN Highway Dept,Balaji Enterprises,General,9.70304,78.57818
MPLAD-TA-2026-1148,Tamil Nadu,Trichy,R. Thangavelu,Extension of water pipeline networks in uncovered slums in Trichy,Drinking Water Facility,1800000,1080000,2026-01-18,In Progress,70,TN Highway Dept,Balaji Enterprises,General,10.26095,77.04873
MPLAD-TA-2024-1149,Tamil Nadu,Chennai,S. Ramachandran,Upgradation of sanitation facilities and public latrines in commercial market in Chennai,Sanitation & Public Health,2000000,1600000,2024-02-29,In Progress,82,Coimbatore Municipal Corporation,Balaji Enterprises,General,11.94053,77.52527
MPLAD-TA-2025-1150,Tamil Nadu,Salem,P. Selvam,Construction of CC road and brick pavement linking main highway to village in Salem,"Roads, Pathways & Bridges",3700000,1480000,2025-12-24,In Progress,48,Coimbatore Municipal Corporation,A-1 Builders Ltd,General,11.87333,79.65737
MPLAD-TA-2024-1151,Tamil Nadu,Madurai,S. Ramachandran,Procurement of portable solar lanterns for high-altitude village hamlets in Madurai,Non-conventional Energy (Solar lights),1200000,720000,2024-10-31,In Progress,72,TN Highway Dept,Balaji Enterprises,Scheduled Caste (SC),12.08642,77.14341
MPLAD-TA-2025-1152,Tamil Nadu,Madurai,S. Ramachandran,Provision of sports equipment and fitness kits for youth community center in Madurai,Sports Infrastructure (Playgrounds/Gyms),2200000,2200000,2025-11-17,Completed,100,Greater Chennai Corporation,Balaji Enterprises,General,12.42117,78.48861
MPLAD-TA-2025-1153,Tamil Nadu,Salem,S. Ramachandran,Procurement and supply of critical care medical equipment for primary health center in Salem,Public Health (Hospitals/Clinics),3800000,3040000,2025-10-17,In Progress,57,TN Highway Dept,Dynamic Construction Corp,General,11.13642,77.96363
MPLAD-TA-2025-1154,Tamil Nadu,Chennai,S. Ramachandran,Setting up of solar power backup grid for public health clinic emergency room in Chennai,Public Health (Hospitals/Clinics),3400000,2040000,2025-10-20,In Progress,74,Madurai City Corporation,Balaji Enterprises,General,10.84139,79.18044
MPLAD-TA-2025-1155,Tamil Nadu,Madurai,R. Thangavelu,Procurement and supply of critical care medical equipment for primary health center in Madurai,Public Health (Hospitals/Clinics),1700000,1700000,2025-09-09,Completed,100,Salem District Development Agency,Metro Urban Projects,Scheduled Tribe (ST),11.90329,79.03823
MPLAD-TA-2023-1156,Tamil Nadu,Chennai,M. K. Anbazhagan,Construction of multipurpose community hall for public social functions in Chennai,Community Assets (Halls/Shelters),1900000,1140000,2023-10-16,In Progress,83,TN Highway Dept,Pioneer Engineering,General,12.3484,77.09716
MPLAD-TA-2024-1157,Tamil Nadu,Coimbatore,P. Selvam,Provision of sports equipment and fitness kits for youth community center in Coimbatore,Sports Infrastructure (Playgrounds/Gyms),1200000,1200000,2024-03-08,Completed,100,Madurai City Corporation,Balaji Enterprises,General,10.6941,78.94868
MPLAD-TA-2025-1158,Tamil Nadu,Coimbatore,K. Srinivasan,Interlocking tiles paving and repair of street internal pathways in Coimbatore,"Roads, Pathways & Bridges",3100000,3100000,2025-08-01,Completed,100,Greater Chennai Corporation,Apex Infrastructure,Scheduled Caste (SC),10.28533,77.78087
MPLAD-TA-2024-1159,Tamil Nadu,Salem,M. K. Anbazhagan,Setting up of solar power backup grid for public health clinic emergency room in Salem,Public Health (Hospitals/Clinics),2100000,1260000,2024-02-07,In Progress,64,TN Highway Dept,Dynamic Construction Corp,General,12.19604,78.33533
MPLAD-TA-2025-1160,Tamil Nadu,Chennai,S. Ramachandran,Upgradation of sanitation facilities and public latrines in commercial market in Chennai,Sanitation & Public Health,2700000,2700000,2025-01-15,Completed,100,Madurai City Corporation,Dynamic Construction Corp,General,11.63543,79.78197
MPLAD-TA-2024-1161,Tamil Nadu,Coimbatore,S. Ramachandran,Construction of additional classrooms in government higher secondary school in Coimbatore,Education (School infrastructure/Libraries),2100000,840000,2024-03-11,In Progress,91,TN Highway Dept,Balaji Enterprises,General,11.16206,78.10673
MPLAD-TA-2025-1162,Tamil Nadu,Trichy,M. K. Anbazhagan,Construction of community toilet block for women and children in Trichy,Sanitation & Public Health,1900000,1900000,2025-08-24,Completed,100,TN Highway Dept,Siddharth Construction Group,General,10.936,78.23239
MPLAD-TA-2023-1163,Tamil Nadu,Salem,R. Thangavelu,Construction of small pedestrian over-bridge across local stream in Salem,"Roads, Pathways & Bridges",3500000,3500000,2023-10-30,Completed,100,Greater Chennai Corporation,Elite Infrastructure Group,General,11.54033,78.03354
MPLAD-TA-2023-1164,Tamil Nadu,Trichy,R. Thangavelu,Interlocking tiles paving and repair of street internal pathways in Trichy,"Roads, Pathways & Bridges",3100000,1240000,2023-09-22,In Progress,93,Coimbatore Municipal Corporation,Sai Ram Constructions,General,9.99397,77.96798
MPLAD-TA-2024-1165,Tamil Nadu,Coimbatore,S. Ramachandran,Procurement and supply of critical care medical equipment for primary health center in Coimbatore,Public Health (Hospitals/Clinics),2300000,2300000,2024-07-07,Completed,100,TN Highway Dept,Metro Urban Projects,General,10.32335,78.87507
MPLAD-TA-2024-1166,Tamil Nadu,Trichy,R. Thangavelu,Metalling and resurfacing of approach road to agriculture cooperative market in Trichy,"Roads, Pathways & Bridges",4500000,3600000,2024-04-11,In Progress,81,Greater Chennai Corporation,A-1 Builders Ltd,Scheduled Caste (SC),11.97571,77.08512
MPLAD-TA-2023-1167,Tamil Nadu,Chennai,R. Thangavelu,Provision of science laboratory equipment and student seating benches in Chennai,Education (School infrastructure/Libraries),2800000,2800000,2023-08-02,Completed,100,Madurai City Corporation,Vardhan Infrastructure & Sons,General,11.13673,78.92572
MPLAD-TA-2023-1168,Tamil Nadu,Madurai,P. Selvam,Setting up of centralized solar micro-grid for rural electrification in Madurai,Non-conventional Energy (Solar lights),1200000,1200000,2023-10-28,Completed,100,Coimbatore Municipal Corporation,A-1 Builders Ltd,General,9.97424,78.24687
MPLAD-TA-2025-1169,Tamil Nadu,Salem,M. K. Anbazhagan,Construction of small pedestrian over-bridge across local stream in Salem,"Roads, Pathways & Bridges",4200000,4200000,2025-03-15,Completed,100,Madurai City Corporation,Balaji Enterprises,General,12.42612,77.3923
MPLAD-TA-2026-1170,Tamil Nadu,Madurai,R. Thangavelu,Construction of concrete storm water drain and sewage channel in Madurai,Sanitation & Public Health,1700000,1020000,2026-01-11,In Progress,47,TN Highway Dept,Global Contracting & Co.,General,9.92263,77.15182
MPLAD-TA-2025-1171,Tamil Nadu,Salem,R. Thangavelu,Establishment of digital computer lab with 15 workstations in public school in Salem,Education (School infrastructure/Libraries),4100000,4100000,2025-04-01,Completed,100,Salem District Development Agency,Siddharth Construction Group,General,10.43814,79.28936
MPLAD-TA-2023-1172,Tamil Nadu,Salem,R. Thangavelu,Development of shaded public resting park with seating benches and pathways in Salem,Community Assets (Halls/Shelters),3000000,2400000,2023-07-18,In Progress,85,Salem District Development Agency,Elite Infrastructure Group,General,12.40006,77.64543
MPLAD-TA-2026-1173,Tamil Nadu,Madurai,K. Srinivasan,Setting up of solar power backup grid for public health clinic emergency room in Madurai,Public Health (Hospitals/Clinics),3400000,3400000,2026-01-19,Completed,100,Greater Chennai Corporation,Metro Urban Projects,General,9.52453,77.32249
MPLAD-TA-2025-1174,Tamil Nadu,Coimbatore,S. Ramachandran,Setting up of centralized solar micro-grid for rural electrification in Coimbatore,Non-conventional Energy (Solar lights),500000,200000,2025-08-29,In Progress,95,Madurai City Corporation,Balaji Enterprises,General,11.15967,77.2206
MPLAD-TA-2024-1175,Tamil Nadu,Trichy,P. Selvam,Renovation and upgradation of pediatric ward in district hospital in Trichy,Public Health (Hospitals/Clinics),3600000,2160000,2024-01-30,In Progress,66,TN Highway Dept,Balaji Enterprises,General,11.88469,78.01726
MPLAD-TA-2023-1176,Tamil Nadu,Madurai,M. K. Anbazhagan,Procurement of portable solar lanterns for high-altitude village hamlets in Madurai,Non-conventional Energy (Solar lights),500000,400000,2023-09-01,In Progress,68,Coimbatore Municipal Corporation,Balaji Enterprises,General,11.9119,78.558
MPLAD-TA-2025-1177,Tamil Nadu,Coimbatore,R. Thangavelu,Construction of small pedestrian over-bridge across local stream in Coimbatore,"Roads, Pathways & Bridges",4400000,3520000,2025-03-14,In Progress,85,TN Highway Dept,Siddharth Construction Group,General,12.02781,78.78117
MPLAD-TA-2026-1178,Tamil Nadu,Trichy,R. Thangavelu,Renovation and roofing repair of local community cultural assembly center in Trichy,Community Assets (Halls/Shelters),2400000,1440000,2026-01-28,In Progress,53,TN Highway Dept,Vardhan Infrastructure & Sons,General,9.82881,78.24962
MPLAD-TA-2024-1179,Tamil Nadu,Madurai,K. Srinivasan,Development of shaded public resting park with seating benches and pathways in Madurai,Community Assets (Halls/Shelters),4500000,4500000,2024-09-09,Completed,100,TN Highway Dept,A-1 Builders Ltd,Scheduled Tribe (ST),11.25057,77.51154
MPLAD-TA-2024-1180,Tamil Nadu,Trichy,P. Selvam,Construction of additional classrooms in government higher secondary school in Trichy,Education (School infrastructure/Libraries),3300000,1980000,2024-01-12,In Progress,61,Coimbatore Municipal Corporation,Balaji Enterprises,General,10.75634,78.23888
MPLAD-TA-2024-1181,Tamil Nadu,Coimbatore,P. Selvam,Construction of multipurpose community hall for public social functions in Coimbatore,Community Assets (Halls/Shelters),3700000,3700000,2024-03-09,Completed,100,TN Highway Dept,Global Contracting & Co.,General,11.18266,79.99437
MPLAD-TA-2026-1182,Tamil Nadu,Salem,R. Thangavelu,Supply and installation of open-air gymnasium equipment in public park in Salem,Sports Infrastructure (Playgrounds/Gyms),2400000,1440000,2026-05-27,In Progress,34,Salem District Development Agency,Vardhan Infrastructure & Sons,General,11.81597,79.16277
MPLAD-TA-2025-1183,Tamil Nadu,Madurai,R. Thangavelu,Establishment of digital computer lab with 15 workstations in public school in Madurai,Education (School infrastructure/Libraries),2300000,1380000,2025-02-01,In Progress,79,Salem District Development Agency,Siddharth Construction Group,Scheduled Tribe (ST),10.12183,79.11496
MPLAD-TA-2025-1184,Tamil Nadu,Madurai,P. Selvam,Provision of mobile medical health unit vehicle with essential diagnostic tools in Madurai,Public Health (Hospitals/Clinics),1800000,1800000,2025-07-17,Completed,100,Madurai City Corporation,Balaji Enterprises,Scheduled Caste (SC),12.36383,79.41385
MPLAD-TA-2024-1185,Tamil Nadu,Madurai,K. Srinivasan,Construction of concrete storm water drain and sewage channel in Madurai,Sanitation & Public Health,2400000,2400000,2024-11-07,Completed,100,Madurai City Corporation,Elite Infrastructure Group,General,10.14196,79.48386
MPLAD-TA-2024-1186,Tamil Nadu,Madurai,R. Thangavelu,Construction of CC road and brick pavement linking main highway to village in Madurai,"Roads, Pathways & Bridges",3400000,2720000,2024-10-03,In Progress,63,Madurai City Corporation,Metro Urban Projects,General,10.17701,77.69851
MPLAD-TA-2024-1187,Tamil Nadu,Chennai,P. Selvam,Construction of multipurpose community hall for public social functions in Chennai,Community Assets (Halls/Shelters),3600000,1440000,2024-03-08,In Progress,95,Madurai City Corporation,Pioneer Engineering,Scheduled Caste (SC),11.45868,79.64194
MPLAD-TA-2023-1188,Tamil Nadu,Salem,P. Selvam,Provision of mobile medical health unit vehicle with essential diagnostic tools in Salem,Public Health (Hospitals/Clinics),2400000,1920000,2023-09-30,In Progress,74,Coimbatore Municipal Corporation,Siddharth Construction Group,General,11.66935,79.81001
MPLAD-TA-2026-1189,Tamil Nadu,Coimbatore,P. Selvam,Extension of water pipeline networks in uncovered slums in Coimbatore,Drinking Water Facility,1700000,0,2026-03-11,Sanctioned but not started,0,Coimbatore Municipal Corporation,A-1 Builders Ltd,General,10.39518,78.80835
MPLAD-TA-2026-1190,Tamil Nadu,Madurai,S. Ramachandran,Construction of passenger waiting shelter at central district bus stand in Madurai,Community Assets (Halls/Shelters),4200000,1680000,2026-03-29,In Progress,17,Salem District Development Agency,Apex Infrastructure,General,10.49205,79.19336
MPLAD-UT-2024-1191,Uttar Pradesh,Prayagraj,Vipin Mishra,Construction of concrete basketball court with standard seating gallery in Prayagraj,Sports Infrastructure (Playgrounds/Gyms),2800000,1680000,2024-06-30,In Progress,85,Lucknow Development Authority,Metro Urban Projects,General,26.28378,80.7025
MPLAD-UT-2024-1192,Uttar Pradesh,Lucknow,Vipin Mishra,Development of shaded public resting park with seating benches and pathways in Lucknow,Community Assets (Halls/Shelters),4400000,2640000,2024-10-21,In Progress,76,Varanasi Municipal Corporation,Global Contracting & Co.,Scheduled Caste (SC),26.64021,80.30098
MPLAD-UT-2025-1193,Uttar Pradesh,Prayagraj,Akhilesh Yadav,Supply and installation of RO drinking water purification plant in public spaces in Prayagraj,Drinking Water Facility,1500000,1500000,2025-06-06,Completed,100,Gorakhpur Development Authority,Global Contracting & Co.,Scheduled Caste (SC),25.48637,79.85467
MPLAD-UT-2025-1194,Uttar Pradesh,Prayagraj,Vipin Mishra,Procurement and supply of critical care medical equipment for primary health center in Prayagraj,Public Health (Hospitals/Clinics),3500000,3500000,2025-01-25,Completed,100,Kanpur PWD,Om Shanti Developers,General,25.96255,82.37208
MPLAD-UT-2026-1195,Uttar Pradesh,Kanpur Nagar,Vipin Mishra,Provision of sports equipment and fitness kits for youth community center in Kanpur Nagar,Sports Infrastructure (Playgrounds/Gyms),2700000,1080000,2026-01-20,In Progress,78,Kanpur PWD,Vardhan Infrastructure & Sons,General,27.56422,82.11941
MPLAD-UT-2024-1196,Uttar Pradesh,Lucknow,Yogi Sharan,Development of public sports playground with jogging track and fencing in Lucknow,Sports Infrastructure (Playgrounds/Gyms),2800000,2240000,2024-01-16,In Progress,95,Kanpur PWD,Global Contracting & Co.,General,27.01811,79.94956
MPLAD-UT-2026-1197,Uttar Pradesh,Prayagraj,Yogi Sharan,Provision of modern bio-toilets in public high school premises in Prayagraj,Sanitation & Public Health,2800000,2240000,2026-02-26,In Progress,87,Kanpur PWD,Elite Infrastructure Group,General,27.72608,80.8603
MPLAD-UT-2025-1198,Uttar Pradesh,Gorakhpur,Manoj Tiwari,Provisioning of 500L drinking water tank in public primary school in Gorakhpur,Drinking Water Facility,1200000,1200000,2025-02-21,Completed,100,Kanpur PWD,A-1 Builders Ltd,Scheduled Caste (SC),26.48785,81.94936
MPLAD-UT-2023-1199,Uttar Pradesh,Varanasi,Yogi Sharan,Extension of water pipeline networks in uncovered slums in Varanasi,Drinking Water Facility,1000000,1000000,2023-10-09,Completed,100,Lucknow Development Authority,A-1 Builders Ltd,Scheduled Caste (SC),28.10375,79.70706
MPLAD-UT-2024-1200,Uttar Pradesh,Kanpur Nagar,Rajesh Singh,Provision of solar-powered water pumping system for municipal green parks in Kanpur Nagar,Non-conventional Energy (Solar lights),1700000,1700000,2024-03-04,Completed,100,UP Jal Nigam,Siddharth Construction Group,Scheduled Caste (SC),27.23764,80.76109
MPLAD-UT-2024-1201,Uttar Pradesh,Kanpur Nagar,Manoj Tiwari,Supply and installation of integrated solar-powered LED street lights in dark spots in Kanpur Nagar,Non-conventional Energy (Solar lights),1500000,1500000,2024-02-28,Completed,100,Kanpur PWD,Balaji Enterprises,General,25.6559,82.47854
